area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c05a;c05b;c06a;c06b;c07;c08a;c09;c10;c11;c12;c13;c14;c15a;c16a;c17a;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;10150;008502;023;06;1;3;3;1;1;2;2;1;3;3;3;3;3;3;3;3;3;2;2;2;1;1;3;3;2711;77,7081740165728;010150008502;01015000850202306;010150008502023061;202109
1;10150;008502;023;07;1;2;2;1;2;2;2;2;3;3;3;3;3;3;3;3;2;2;2;2;3;3;3;3;2711;77,7081740165728;010150008502;01015000850202307;010150008502023071;202109
1;10150;008502;023;08;1;1;1;1;1;2;1;2;3;3;3;3;3;3;3;3;3;2;2;2;1;1;2;2;2711;77,7081740165728;010150008502;01015000850202308;010150008502023081;202109
1;10150;008502;023;09;1;3;3;1;1;2;1;2;3;3;3;3;2;1;1;3;3;2;2;2;1;1;3;3;2711;77,7081740165728;010150008502;01015000850202309;010150008502023091;202109
1;10150;009301;023;03;1;3;1;2;2;2;2;2;2;1;2;3;2;3;3;3;3;2;2;2;2;2;2;2;2712;94,4063800366425;010150009301;01015000930102303;010150009301023031;202109
1;10150;009301;023;04;1;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;2;2;2;1;2;1;1;2712;94,4063800366425;010150009301;01015000930102304;010150009301023041;202109
1;10150;009301;023;07;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2712;94,4063800366425;010150009301;01015000930102307;010150009301023071;202109
1;10150;009301;023;09;1;2;2;2;2;2;2;2;2;1;2;3;2;1;2;2;2;2;2;2;2;2;2;2;2712;94,4063800366425;010150009301;01015000930102309;010150009301023091;202109
1;10150;010701;021;01;1;2;2;2;2;2;2;2;2;1;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2713;195,852182357926;010150010701;01015001070102101;010150010701021011;202109
1;10150;010701;021;02;1;2;2;1;2;2;2;2;2;2;2;3;3;3;2;2;2;2;2;2;2;2;2;2;2713;195,852182357926;010150010701;01015001070102102;010150010701021021;202109
1;10150;010701;021;04;1;2;2;2;2;2;2;2;2;1;2;3;3;3;2;2;3;2;2;2;2;2;2;2;2713;195,852182357926;010150010701;01015001070102104;010150010701021041;202109
1;10150;010701;021;05;1;3;2;1;2;2;2;2;2;1;1;3;3;3;3;3;3;2;2;2;2;2;2;2;2713;195,852182357926;010150010701;01015001070102105;010150010701021051;202109
1;10150;010701;021;06;1;3;2;2;2;2;2;2;2;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2713;195,852182357926;010150010701;01015001070102106;010150010701021061;202109
1;10150;010701;021;07;1;2;2;2;2;2;2;2;2;1;2;3;3;3;3;3;3;1;2;2;2;2;2;2;2713;195,852182357926;010150010701;01015001070102107;010150010701021071;202109
1;10150;010701;021;10;1;2;2;1;2;2;2;2;2;1;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2713;195,852182357926;010150010701;01015001070102110;010150010701021101;202109
1;10150;012402;022;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2711;71,9489371641065;010150012402;01015001240202201;010150012402022011;202109
1;10150;012402;022;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2711;71,9489371641065;010150012402;01015001240202202;010150012402022021;202109
1;10150;012402;022;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2711;71,9489371641065;010150012402;01015001240202204;010150012402022041;202109
1;10150;012402;022;05;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;3;3;3;3;2711;71,9489371641065;010150012402;01015001240202205;010150012402022051;202109
1;10150;012402;022;06;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;71,9489371641065;010150012402;01015001240202206;010150012402022061;202109
1;10150;012402;022;07;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;71,9489371641065;010150012402;01015001240202207;010150012402022071;202109
1;10150;012402;022;08;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;71,9489371641065;010150012402;01015001240202208;010150012402022081;202109
1;10150;012802;023;01;1;2;2;2;2;3;1;2;1;1;1;3;1;3;1;3;2;2;2;2;2;3;3;3;2713;76,9799091598086;010150012802;01015001280202301;010150012802023011;202109
1;10150;012802;023;06;1;3;1;2;1;3;2;3;1;2;1;2;2;2;1;2;2;2;2;2;3;3;3;3;2713;76,9799091598086;010150012802;01015001280202306;010150012802023061;202109
1;10150;012802;023;09;1;3;1;1;1;3;1;2;1;1;2;2;2;2;1;2;1;2;2;1;3;3;3;2;2713;76,9799091598086;010150012802;01015001280202309;010150012802023091;202109
1;10150;012802;023;10;1;3;2;1;2;4;2;4;2;1;1;2;2;2;2;2;2;1;2;1;3;3;3;2;2713;76,9799091598086;010150012802;01015001280202310;010150012802023101;202109
1;10150;013002;022;01;1;2;2;1;2;3;2;2;2;1;2;1;2;3;2;3;2;2;2;2;3;2;3;2;2712;73,4325264490388;010150013002;01015001300202201;010150013002022011;202109
1;10150;013002;022;02;1;3;2;1;2;3;2;2;2;1;2;3;2;3;2;3;2;2;2;2;3;2;3;2;2712;73,4325264490388;010150013002;01015001300202202;010150013002022021;202109
1;10150;013002;022;04;1;2;2;1;2;3;2;2;2;2;2;3;2;1;2;3;2;2;2;2;3;2;3;2;2712;73,4325264490388;010150013002;01015001300202204;010150013002022041;202109
1;10150;013002;022;05;1;2;2;2;2;3;1;2;2;1;2;2;2;3;1;3;2;2;2;2;1;2;1;2;2712;73,4325264490388;010150013002;01015001300202205;010150013002022051;202109
1;10150;013002;022;06;1;3;2;2;2;3;1;2;2;2;2;3;2;3;2;3;2;2;2;2;3;2;3;2;2712;73,4325264490388;010150013002;01015001300202206;010150013002022061;202109
1;10150;013002;022;07;1;2;2;1;2;3;2;2;2;1;2;3;2;1;2;3;2;2;2;2;3;2;2;2;2712;73,4325264490388;010150013002;01015001300202207;010150013002022071;202109
